iter	Accuracy	MultiClass
0	0.8731024329	1.280930686
1	0.8730999291	1.194345153
2	0.8730999291	1.120488109
3	0.8730999291	1.055727223
4	0.8730999291	0.999546983
5	0.8730999291	0.9505218468
6	0.8730999291	0.9059425322
7	0.8730999291	0.8663898997
8	0.8730999291	0.8306757089
9	0.8730999291	0.7981087431
10	0.8730999291	0.7680116653
11	0.8730999291	0.7402800741
12	0.8730999291	0.71579992
13	0.8730999291	0.6929184896
14	0.8730999291	0.6714955708
15	0.8730999291	0.6519295955
16	0.8730999291	0.6346945696
17	0.8730999291	0.6177795937
18	0.8730999291	0.6023817667
19	0.8730999291	0.5882045614
20	0.8730999291	0.5748311167
21	0.8731074405	0.5623608908
22	0.8731049367	0.5506430218
23	0.8731124481	0.539823332
24	0.8731199595	0.5296033661
25	0.8732952255	0.5200812716
26	0.8733603243	0.5109633673
27	0.8733503091	0.5024578004
28	0.8735756511	0.4950339537
29	0.8737609322	0.4880167358
30	0.87383855	0.4812278902
31	0.873863588	0.4747991509
32	0.8739161678	0.4685673925
33	0.8739412058	0.4627896308
34	0.8739787628	0.4573644237
35	0.8740213274	0.452539466
36	0.8740313426	0.4480322349
37	0.8740814186	0.4434461758
38	0.8744845303	0.4389761605
39	0.8745396139	0.4348561765
40	0.8747724672	0.4313854563
41	0.8747399178	0.4277390509
42	0.8747599482	0.4242873784
43	0.8747574444	0.4212142955
44	0.874850085	0.4182209527
45	0.875112984	0.4154529225
46	0.8752707233	0.412430802
47	0.8751405257	0.4101605048
48	0.8757163996	0.4076090107
49	0.8758465972	0.4051885382
50	0.875936734	0.4026760602
51	0.8763673875	0.4003884363
52	0.8766628359	0.3981480427
53	0.8766603321	0.395845248
54	0.8767905296	0.3940385342
55	0.8770759628	0.3923725164
56	0.8774039605	0.3906089771
57	0.8773088161	0.3888425746
58	0.8774440213	0.3873171788
59	0.8774665555	0.3858161282
60	0.8776443253	0.3842366378
61	0.8780073762	0.3830452888
62	0.878072475	0.3817229063
63	0.8780499408	0.3805462897
64	0.8781025206	0.3791849082
65	0.8781400776	0.3782126294
66	0.8781075282	0.3770767899
67	0.877947285	0.3760867683
68	0.8781951612	0.3751073852
69	0.8781901536	0.3739078786
70	0.8782001688	0.3728438127
71	0.8784780905	0.3720584854
72	0.8786007767	0.3711402574
73	0.8786032805	0.3702405026
74	0.8786183033	0.369322273
75	0.8786408375	0.3684947669
76	0.8786583641	0.3677553128
77	0.8787359819	0.3670044791
78	0.8788236148	0.3663908174
79	0.878783554	0.3657448662
80	0.8788937212	0.3651317072
81	0.8790514606	0.3644179586
82	0.8791140556	0.3638309476
83	0.879121567	0.3633861562
84	0.8792117038	0.3628467506
85	0.879234238	0.362206359
86	0.8794095039	0.3616376398
87	0.8795121597	0.3611515831
88	0.8795922813	0.3606620439
89	0.8797400055	0.3602424385
90	0.8796949371	0.3598701931
91	0.8796724029	0.3594033874
92	0.8797274865	0.3589906208
93	0.8797625397	0.358612289
94	0.8799678512	0.3582269834
95	0.8799753626	0.3578637923
96	0.8801180792	0.3575003277
97	0.8802232388	0.3571881389
98	0.8802507806	0.3567035318
99	0.8803058641	0.3563540229
100	0.8804986567	0.3559787722
101	0.8804861377	0.3557575895
102	0.8805487327	0.3554364009
103	0.8805938011	0.3550793943
104	0.8806538923	0.3548101145
105	0.8807189911	0.3545428802
106	0.8807640595	0.3542741088
107	0.880831662	0.3539765832
108	0.8808592038	0.3537417174
109	0.8808767304	0.3534765409
110	0.8808992646	0.3532899589
111	0.8809293102	0.3528963204
112	0.8809994166	0.3527173103
113	0.8810620116	0.3525160027
114	0.881119599	0.3523541159
115	0.8811596598	0.352141904
116	0.8811997206	0.3519450431
117	0.881182194	0.3517821802
118	0.8812047282	0.3515569398
119	0.881319903	0.3513430095
120	0.8813549561	0.3511173526
121	0.8814325739	0.350901322
122	0.8814425891	0.3507925484
123	0.8815302221	0.3505737579
124	0.8815702829	0.3504114127
125	0.8817755945	0.3500874391
126	0.8818281743	0.3499373322
127	0.881868235	0.3496382884
128	0.8818406933	0.3495802978
129	0.8819133034	0.3493716532
130	0.8819032882	0.3492121431
131	0.8819608756	0.3490935281
132	0.8821511644	0.3489114888
133	0.8822337898	0.3487046125
134	0.882218767	0.3486160111
135	0.882218767	0.3485229625
136	0.8822788582	0.3483470475
137	0.8823114076	0.3481581191
138	0.8824391013	0.3479806799
139	0.8824716507	0.3478939473
140	0.8824891773	0.3477740715
141	0.8824816659	0.3476213409
