iter	Accuracy	MultiClass
142	0.8825167191	0.3475230352
143	0.8825217267	0.3473642702
144	0.8825843217	0.347125719
145	0.8825993445	0.3470235914
146	0.8825918331	0.3469488554
147	0.8825993445	0.3468751218
148	0.8826268863	0.3467221414
149	0.8826519243	0.3465136986
150	0.8826794661	0.3464433343
151	0.8826719547	0.3463395392
152	0.8826769623	0.3462961573
153	0.8826719547	0.3462760196
154	0.8827270383	0.3460941266
155	0.8827545801	0.3459741263
156	0.8827545801	0.3458770208
157	0.8828522283	0.3457384666
158	0.8830325018	0.3455896114
159	0.8830124714	0.3455609266
160	0.8830074638	0.3454746575
161	0.8830149752	0.3454548115
162	0.8830099676	0.3453905519
163	0.8830224866	0.3453206601
164	0.8830199828	0.3452601717
165	0.8829874334	0.3450960657
166	0.8830450208	0.3449304744
167	0.8830375094	0.344885012
168	0.883105112	0.3447781889
169	0.8831476766	0.3446841046
170	0.8831601956	0.3446344161
171	0.8831601956	0.3445388085
172	0.8831626994	0.3445281416
173	0.8831727146	0.3444818361
174	0.8832077678	0.3444629132
175	0.8832478286	0.3442706998
176	0.8833604996	0.3441459454
177	0.883342973	0.3441152196
178	0.883393049	0.3440254838
179	0.8834105755	0.3439977006
180	0.8834055679	0.343974659
181	0.8834706667	0.343840377
182	0.8834481325	0.3437988819
183	0.8834581477	0.3437478448
184	0.8834481325	0.343706656
185	0.8834881933	0.3436330232
186	0.8835332617	0.3435270624
187	0.8835307579	0.3433773096
188	0.8835582997	0.3433202027
189	0.8835582997	0.3432872266
190	0.8835608035	0.343173533
191	0.8835608035	0.3431622932
192	0.8835658111	0.3430711851
193	0.8836459327	0.3428638955
194	0.8836559479	0.3428400023
195	0.8836584517	0.3428335471
196	0.8837986645	0.3426815206
197	0.8837936569	0.3426419164
198	0.8837886493	0.3425844733
199	0.8838186949	0.3424831594
200	0.8838437329	0.3424634846
201	0.8838587557	0.3424221665
202	0.8838637633	0.3423829624
203	0.8838637633	0.3422678881
204	0.8838612595	0.3422633539
205	0.8838587557	0.3422429198
206	0.8838512443	0.3421455974
207	0.8838662671	0.3421180553
208	0.8838587557	0.3420608395
209	0.8838587557	0.3420599009
210	0.8838988165	0.3420328214
211	0.8839013203	0.342024704
212	0.8839138393	0.3419823011
213	0.8839163431	0.3419068662
214	0.883941381	0.3418886626
215	0.8839463886	0.3417795352
216	0.8839488924	0.3417730407
217	0.8839338696	0.3416942437
218	0.883978938	0.3416148999
219	0.884003976	0.3416021021
220	0.8840064798	0.3415861779
221	0.8840089836	0.3415837639
222	0.8839989684	0.3415705434
223	0.8840089836	0.3415573487
224	0.8840465406	0.3415286114
225	0.8840590596	0.3415216085
226	0.8840615634	0.3414823629
227	0.8840715786	0.3414540381
228	0.8840690748	0.3414088191
229	0.88407909	0.341258297
230	0.88407909	0.3411705542
231	0.8840891052	0.341126375
232	0.8840891052	0.3411199338
233	0.8841241584	0.3410880352
234	0.8841141432	0.3410525538
235	0.8841316698	0.3410085887
236	0.8841191508	0.340979649
237	0.884129166	0.3409641799
238	0.884141685	0.3409442386
239	0.884191761	0.3409068207
240	0.884191761	0.3408753043
241	0.8841867534	0.3408542402
242	0.8841692268	0.3407961477
243	0.8841692268	0.3407915279
244	0.8841767382	0.3407539223
245	0.8841767382	0.3407497879
246	0.8841767382	0.3406993357
247	0.8841767382	0.3406897289
248	0.884191761	0.3406650066
249	0.8841867534	0.3406432682
250	0.8842017762	0.3405472168
251	0.88420428	0.3404683296
252	0.8842318218	0.3403959478
253	0.8842343256	0.340390008
254	0.8842368294	0.3403813301
255	0.8842368294	0.3403694387
256	0.8842318218	0.3403005793
257	0.8842393332	0.3402263726
258	0.884254356	0.3402033132
259	0.884254356	0.3401993232
260	0.884254356	0.3401962826
261	0.8842518522	0.3401013575
262	0.8842718826	0.3400274629
263	0.8842743864	0.339981381
264	0.8842844016	0.3398859398
265	0.8842869054	0.3397205839
266	0.8842844016	0.3397018957
267	0.884354508	0.3396250232
268	0.8843520042	0.3396209359
269	0.8843620194	0.3396110008
270	0.884404584	0.3395635243
271	0.8844020802	0.3395561212
272	0.8844596675	0.339457425
273	0.8844872093	0.3394233532
274	0.8845222625	0.339410602
275	0.8845773461	0.3393067763
276	0.8845798499	0.3392879084
277	0.8845723385	0.3392728534
278	0.8845723385	0.3392686
279	0.8845748423	0.3392675078
280	0.8845898651	0.339137159
281	0.8845848575	0.3390436324
282	0.8846149031	0.3389195854
283	0.8846249183	0.3389062181
284	0.8846649791	0.3388690496
285	0.8846975285	0.3388324069
286	0.8846800019	0.3387776164
287	0.8847551159	0.3386709973
288	0.8847701387	0.3386505187
289	0.8847726425	0.3386417878
290	0.8847701387	0.3386333544
291	0.8847851615	0.3385839675
292	0.8848101995	0.3384879897
293	0.8848402451	0.3384430932
294	0.8848577717	0.3383126912
295	0.8848627793	0.3382388726
296	0.8848627793	0.3382205466
297	0.8848627793	0.3382135309
298	0.8848627793	0.3382118995
299	0.8848602755	0.3381303857
